sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite
0,4,83,30,14.073397380113601,20.14212815557935,14.073397380113601,152.25668577477336,5,18,True
1,4,83,45,20.691124013066293,26.189996432059306,20.691124013066293,151.99754713103175,5,18,True
2,4,83,60,12.567294581234455,16.08874599210466,12.567294581234455,121.82063516229391,4,18,True
3,4,83,75,22.05776238683611,32.61557817023258,22.05776238683611,122.16770509257913,4,18,True
4,4,83,90,27.721213145554067,45.159676211674515,27.721213145554067,151.9460161216557,5,18,True
5,4,83,105,50.68021974464258,82.75016676847234,50.68021974464258,153.81311671808362,5,16,True
6,4,83,120,16.533989336093267,21.617817155347797,16.533989336093267,153.02277635782957,5,17,True
7,4,83,135,3.641215125719706,5.215355645068858,3.641215125719706,152.17843698337674,5,18,True
8,4,83,150,11.323758709430695,16.436935013850135,11.323758709430695,122.21683515235782,4,18,True
9,4,83,165,15.070514635245006,21.090765504669083,15.070514635245006,153.14379706978798,5,17,True
10,4,83,180,28.725021947796147,47.02477227620674,28.725021947796147,121.35783489793539,4,19,True
11,4,83,195,9.109063785895705,11.587359523876826,9.109063785895705,151.87982702627778,5,18,True
12,4,83,210,11.311026355872551,17.385416259430464,11.311026355872551,152.64508593827486,5,17,True
13,4,83,225,30.414940076321365,46.874410209908014,30.414940076321365,122.02055612578988,4,18,True
14,4,15,30,15.701551978538435,19.298384898409704,15.701551978538435,152.26341597735882,5,18,True
15,4,15,45,6.868887016177178,7.9433101481229365,6.868887016177178,153.24022667482495,5,17,True
16,4,15,60,1.1585039893786113,1.864375337578924,1.1585039893786113,122.32437543570995,4,18,True
17,4,15,75,1.116307274500529,1.7988293649817184,1.116307274500529,122.29297589510679,4,18,True
18,4,15,90,1.0934639692306518,1.9073041623321456,1.0934639692306518,122.25322565063834,4,18,True
19,4,15,105,6.682974631339311,12.062075286652188,6.682974631339311,122.31680518016219,4,18,True
20,4,15,120,12.113672175010045,17.906076756423687,12.113672175010045,151.229586917907,5,18,True
21,4,15,135,1.691539208094279,2.0833954231711207,1.691539208094279,120.77155476436019,4,18,True
22,4,15,150,0.9208519299825032,1.3833485265676382,0.9208519299825032,120.69125520065427,4,18,True
23,4,15,165,6.794130017360051,13.163375380366,6.794130017360051,120.63439516350627,4,18,True
24,4,15,180,14.943659125640988,22.45850312486511,14.943659125640988,149.84796615317464,5,18,True
25,4,15,195,17.215549152716996,28.77904675821367,17.215549152716996,150.8302059955895,5,17,True
26,4,15,210,21.41261229266723,36.53667551503853,21.41261229266723,149.89032689481974,5,18,True
27,4,15,225,14.499735681215922,28.699815348672036,14.499735681215922,151.4456868171692,5,17,True
28,4,3,30,12.713516781727472,18.62516911476572,12.713516781727472,121.57976487651467,4,19,True
29,4,3,45,17.288086116065582,22.352503862358812,17.288086116065582,152.64272689819336,5,17,True
30,4,3,60,8.591412946271399,9.19565143539839,8.591412946271399,122.15014593675733,4,18,True
31,4,3,75,6.236034169731041,8.464612120829006,6.236034169731041,122.0723851583898,4,18,True
32,4,3,90,2.694227355346084,3.942858239486146,2.694227355346084,122.04058608040214,4,18,True
33,4,3,105,3.8588710443427163,5.507895388587772,3.8588710443427163,122.26471537724137,4,18,True
34,4,3,120,5.297736760725578,7.22548751031153,5.297736760725578,122.33886541798711,4,18,True
35,4,3,135,12.953459779421488,15.371448147137867,12.953459779421488,122.580885887146,4,18,True
36,4,3,150,11.747071458399295,16.466719696480222,11.747071458399295,122.96054558828473,4,18,True
37,4,3,165,10.686488604545593,13.38854938469976,10.686488604545593,123.35989531129599,4,18,True
38,4,3,180,6.8325808127721155,11.378170999567727,6.8325808127721155,122.41106620058417,4,18,True
39,4,3,195,8.186674851179124,11.235255764843746,8.186674851179124,152.42052637040615,5,18,True
40,4,3,210,1.7274669190247853,2.047909296273168,1.7274669190247853,122.3832848481834,4,18,True
41,4,3,225,3.2344979266325633,3.545187311802933,3.2344979266325633,122.55799630656838,4,18,True
42,4,35,30,9.101757529191673,11.057255778820517,9.101757529191673,121.07847491279244,4,19,True
43,4,35,45,3.4212752516071,4.43654122052636,3.4212752516071,122.32641596347094,4,18,True
44,4,35,60,4.241632422804832,5.211632160494491,4.241632422804832,122.43915582075715,4,18,True
45,4,35,75,4.135184395313263,5.631268669283563,4.135184395313263,122.63408489525318,4,18,True
46,4,35,90,2.7930814464886984,6.259965807400797,2.7930814464886984,122.346555814147,4,18,True
47,4,35,105,6.212786257763704,8.446493115900122,6.212786257763704,122.29346530511975,4,18,True
48,4,35,120,10.423578473428885,12.646591518979166,10.423578473428885,152.04145619645715,5,18,True
49,4,35,135,3.006686751296123,4.539362596712999,3.006686751296123,122.0581061206758,4,18,True
