sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite,selected_k
0,4,83,30,14.951253177722295,19.65199644314613,14.951253177722295,124.66308427974582,4,18,True,4
1,4,83,45,22.652719977498055,27.701116718804254,22.652719977498055,124.33230923488736,5,18,True,4
2,4,83,60,12.845533672471841,16.44640837979086,12.845533672471841,97.27609623223543,4,19,True,2
3,4,83,75,21.316093685664235,31.425805442875397,21.316093685664235,96.80849127471447,4,18,True,4
4,4,83,90,24.259984683493773,40.20473528856901,24.259984683493773,96.716676838696,4,19,True,2
5,4,83,105,53.29941930671533,87.58175019835255,53.29941930671533,121.09849182888865,5,17,True,4
6,4,83,120,10.924129869540533,13.461986885012218,10.924129869540533,96.34588565677404,4,18,True,4
7,4,83,135,6.470780348777771,7.160733459882576,6.470780348777771,95.3686279244721,4,19,True,2
8,4,83,150,11.382723406950634,17.3535949706101,11.382723406950634,95.18895810469985,4,19,True,2
9,4,83,165,7.439664041996002,9.465213013940037,7.439664041996002,97.99112798646092,4,18,True,4
10,4,83,180,27.859499563152593,47.111378527860396,27.859499563152593,102.67393477261066,4,19,True,2
11,4,83,195,12.830738259976108,15.61660305066546,12.830738259976108,106.439677067101,4,18,True,4
12,4,83,210,11.7375610443453,19.390470552303082,11.7375610443453,118.57548076659441,4,18,True,4
13,4,83,225,30.931617932766677,47.50119685057648,30.931617932766677,105.46070616692305,4,19,True,2
14,4,15,30,10.17801048035423,12.576484120589063,10.17801048035423,108.0911410972476,4,19,True,2
15,4,15,45,3.578702550133069,5.431784730680628,3.578702550133069,108.1670350395143,4,18,True,4
16,4,15,60,1.7240238706270854,2.293698806186206,1.7240238706270854,108.34224615246058,4,19,True,2
17,4,15,75,1.6015690167744954,2.2557850813019433,1.6015690167744954,109.84736308455467,4,19,True,2
18,4,15,90,1.6317180156707765,2.355411045345869,1.6317180156707765,102.15012403205037,4,19,True,2
19,4,15,105,6.94796960229675,12.094124754100557,6.94796960229675,111.56504228711128,4,19,True,2
20,4,15,120,9.825122872988382,14.394229070350859,9.825122872988382,113.26388409361243,4,18,True,4
21,4,15,135,1.2756533861160277,1.9690485553990713,1.2756533861160277,109.95450476184487,4,19,True,2
22,4,15,150,1.2786514282226562,1.734422885864326,1.2786514282226562,103.70268020778894,4,19,True,2
23,4,15,165,6.9058386822541555,13.044284752506028,6.9058386822541555,111.26864096149802,4,19,True,2
24,4,15,180,13.4732575584203,23.46507742575822,13.4732575584203,113.12892008572817,4,19,True,2
25,4,15,195,17.21754614673555,28.77213395873123,17.21754614673555,141.1289069801569,5,18,True,10
26,4,15,210,22.404651929438113,40.55346964071405,22.404651929438113,107.5619999319315,4,18,True,4
27,4,15,225,11.537544043858846,18.68721703453296,11.537544043858846,106.10937187448144,4,18,True,4
28,4,3,30,13.081925322612127,18.94264340465658,13.081925322612127,106.02445201948285,4,19,True,2
29,4,3,45,20.650171776364246,28.611848933168787,20.650171776364246,112.19181725755334,4,18,True,4
30,4,3,60,8.511273039070268,9.680509961575689,8.511273039070268,109.40997488796711,4,19,True,2
31,4,3,75,6.412805770772199,8.654834858800543,6.412805770772199,106.68275784701109,4,19,True,2
32,4,3,90,2.5351736271133025,3.946393413531688,2.5351736271133025,105.99543759599328,4,19,True,2
33,4,3,105,4.800572564577063,7.355001551807189,4.800572564577063,101.32004506886005,4,19,True,2
34,4,3,120,3.200472617894411,5.349169758854624,3.200472617894411,107.74259082973003,4,19,True,2
35,4,3,135,11.605414430300394,14.932816380691598,11.605414430300394,107.97174461185932,4,19,True,2
36,4,3,150,11.550800499816736,16.199644817480408,11.550800499816736,104.68737268820405,4,19,True,2
37,4,3,165,13.953474322954813,18.442880924130073,13.953474322954813,97.78341511264443,4,18,True,4
38,4,3,180,6.943914071718852,12.036565823048255,6.943914071718852,96.82259801775217,4,19,True,2
39,4,3,195,4.352114739020665,6.439533189184076,4.352114739020665,102.76018781587481,4,19,True,2
40,4,3,210,1.8224029997984568,2.3560759134001974,1.8224029997984568,109.48689095675945,4,19,True,2
41,4,3,225,3.509755482276281,3.832173452886658,3.509755482276281,116.16073409095407,4,19,True,2
42,4,35,30,8.086833416235944,10.102915722634947,8.086833416235944,109.46804471313953,4,19,True,2
43,4,35,45,6.8278122360507645,8.13150988203569,6.8278122360507645,120.73524575680494,4,19,True,2
44,4,35,60,3.858391484618187,5.655518504623137,3.858391484618187,118.19962924346328,4,19,True,2
45,4,35,75,2.457217800617218,3.7494288937934677,2.457217800617218,117.31622042134404,4,19,True,2
46,4,35,90,3.1453908960024517,6.893737451652237,3.1453908960024517,119.33215195313096,4,19,True,2
47,4,35,105,5.756633055706819,7.733560604693279,5.756633055706819,121.89924670383334,4,19,True,2
48,4,35,120,4.777321104705334,6.08334425975532,4.777321104705334,118.19556169211864,4,19,True,2
49,4,35,135,3.4339918442070485,5.356221563125395,3.4339918442070485,121.04974128305912,4,19,True,2
