sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite,selected_k
0,4,83,30,14.673766948034366,19.436421407301918,14.673766948034366,129.2347637936473,4,19,True,2
1,4,83,45,22.266000242034593,27.30957764063159,22.266000242034593,100.71886796504259,4,18,True,2
2,4,83,60,12.845533672471841,16.44640837979086,12.845533672471841,99.27667118608952,4,19,True,2
3,4,83,75,19.43330407384783,29.699701188518947,19.43330407384783,98.88995997607708,4,19,True,2
4,4,83,90,24.259984683493773,40.20473528856901,24.259984683493773,99.11675890907645,4,19,True,2
5,4,83,105,40.74064950843652,67.06277966290169,40.74064950843652,125.26855198666453,5,17,True,2
6,4,83,120,6.4786695818106335,8.377566354301258,6.4786695818106335,98.86369993910193,4,19,True,2
7,4,83,135,6.470780348777771,7.160733459882576,6.470780348777771,98.89780357480049,4,19,True,2
8,4,83,150,11.382723406950634,17.3535949706101,11.382723406950634,98.66410167887807,4,19,True,2
9,4,83,165,7.330948030948639,9.503273970649753,7.330948030948639,98.72268419712782,4,19,True,2
10,4,83,180,27.859499563152593,47.111378527860396,27.859499563152593,99.01746083050966,4,19,True,2
11,4,83,195,12.680955157304803,15.373606504515772,12.680955157304803,99.40383210778236,4,18,True,2
12,4,83,210,12.156248260786136,20.989591723514923,12.156248260786136,98.98127196356654,4,19,True,2
13,4,83,225,30.931617932766677,47.50119685057648,30.931617932766677,98.79721375182271,4,19,True,2
14,4,15,30,10.17801048035423,12.576484120589063,10.17801048035423,99.10068940371275,4,19,True,2
15,4,15,45,3.0927710821231207,4.056734605405632,3.0927710821231207,99.55791430547833,4,18,True,2
16,4,15,60,1.7240238706270854,2.293698806186206,1.7240238706270854,98.94601535052061,4,19,True,2
17,4,15,75,1.6015690167744954,2.2557850813019433,1.6015690167744954,98.80607109516859,4,19,True,2
18,4,15,90,1.6317180156707765,2.355411045345869,1.6317180156707765,98.94600603729486,4,19,True,2
19,4,15,105,6.94796960229675,12.094124754100557,6.94796960229675,98.75655686482787,4,19,True,2
20,4,15,120,8.582683608929317,12.8738151802117,8.582683608929317,99.5498881675303,4,18,True,2
21,4,15,135,1.2756533861160277,1.9690485553990713,1.2756533861160277,98.83586736395955,4,19,True,2
22,4,15,150,1.2786514282226562,1.734422885864326,1.2786514282226562,99.0284918807447,4,19,True,2
23,4,15,165,6.9058386822541555,13.044284752506028,6.9058386822541555,98.74203009530902,4,19,True,2
24,4,15,180,13.4732575584203,23.46507742575822,13.4732575584203,98.87730469927192,4,19,True,2
25,4,15,195,7.61891980804503,10.009705471029726,7.61891980804503,98.94450288265944,4,19,True,2
26,4,15,210,23.40932889133692,43.50143920362425,23.40932889133692,98.76734809949994,4,19,True,2
27,4,15,225,12.776274545987446,18.86042969982748,12.776274545987446,98.89545012265444,4,19,True,2
28,4,3,30,13.081925322612127,18.94264340465658,13.081925322612127,98.84215891361237,4,19,True,2
29,4,3,45,20.61498980894685,28.08673423144191,20.61498980894685,99.4556499645114,4,18,True,2
30,4,3,60,8.511273039070268,9.680509961575689,8.511273039070268,99.09571893513203,4,19,True,2
31,4,3,75,6.412805770772199,8.654834858800543,6.412805770772199,98.76619605347514,4,19,True,2
32,4,3,90,2.5351736271133025,3.946393413531688,2.5351736271133025,98.79626287147403,4,19,True,2
33,4,3,105,4.800572564577063,7.355001551807189,4.800572564577063,98.72564906254411,4,19,True,2
34,4,3,120,3.200472617894411,5.349169758854624,3.200472617894411,98.82627008482814,4,19,True,2
35,4,3,135,11.605414430300394,14.932816380691598,11.605414430300394,98.86081516742706,4,19,True,2
36,4,3,150,11.550800499816736,16.199644817480408,11.550800499816736,98.63356500864029,4,19,True,2
37,4,3,165,13.609344760576883,17.912014368225616,13.609344760576883,98.53983717039227,4,19,True,2
38,4,3,180,6.943914071718852,12.036565823048255,6.943914071718852,98.80664199590683,4,19,True,2
39,4,3,195,4.352114739020665,6.439533189184076,4.352114739020665,98.66858227178454,4,19,True,2
40,4,3,210,1.8224029997984568,2.3560759134001974,1.8224029997984568,98.99668162688613,4,19,True,2
41,4,3,225,3.509755482276281,3.832173452886658,3.509755482276281,98.96791726350784,4,19,True,2
42,4,35,30,8.086833416235944,10.102915722634947,8.086833416235944,98.93310209736228,4,19,True,2
43,4,35,45,6.8278122360507645,8.13150988203569,6.8278122360507645,102.5282209739089,4,19,True,2
44,4,35,60,3.858391484618187,5.655518504623137,3.858391484618187,109.48321595788002,4,19,True,2
45,4,35,75,2.457217800617218,3.7494288937934677,2.457217800617218,108.94588986411691,4,19,True,2
46,4,35,90,3.1453908960024517,6.893737451652237,3.1453908960024517,109.27420016378164,4,19,True,2
47,4,35,105,5.756633055706819,7.733560604693279,5.756633055706819,98.67627592757344,4,19,True,2
48,4,35,120,4.777321104705334,6.08334425975532,4.777321104705334,98.84323179721832,4,19,True,2
49,4,35,135,3.4339918442070485,5.356221563125395,3.4339918442070485,98.92831183969975,4,19,True,2
