config,mode,num_samples,threshold,gamma,keep_k,mae,corrected_rmse,mean_angular_error,latency_median_ms,target_forward_avg,selector_forward_count,speedup_claim_valid,accuracy_preserved
baseline,baseline,1698,,,,12.798559396025476,27.118723422261244,12.798559396025476,571.6559984721243,20.0,,False,True
threshold=0.35_gamma=8,speculative_block_verify,1698,0.35,8,,12.831301641086654,27.141736128537733,12.831301641086654,124.41908335313201,4.210836277974087,,True,True
threshold=0.7_gamma=8,speculative_block_verify,1698,0.7,8,,12.849403701948885,27.154655461187122,12.849403701948885,124.00522129610181,4.083627797408716,,True,True
threshold=1.5_gamma=8,speculative_block_verify,1698,1.5,8,,12.892513489803276,27.236853099700895,12.892513489803276,123.46125743351877,4.03356890459364,,True,True
threshold=2.5_gamma=8,speculative_block_verify,1698,2.5,8,,12.929292182552446,27.327806831298513,12.929292182552446,123.62032593227923,4.0159010600706715,,True,True
attention_top_k_k=8,selector_attention_top_k,50,,,8,11.162241454946498,22.245248279323892,11.162241454946498,577.1019770763814,20,50,,
recent_k_k=8,selector_recent_k,50,,,8,11.124345592208206,22.332131584648625,11.124345592208206,577.4851310998201,20,,,
attention_top_k_k=6,selector_attention_top_k,50,,,6,11.335791139975191,22.511451784223468,11.335791139975191,578.8525268435478,20,50,,
recent_k_k=6,selector_recent_k,50,,,6,10.984009140484035,22.271884381243414,10.984009140484035,577.7467121370137,20,,,
attention_top_k_k=4,selector_attention_top_k,50,,,4,11.520563148674865,22.99818915570122,11.520563148674865,578.5645921714604,20,50,,
recent_k_k=4,selector_recent_k,50,,,4,10.582026918547848,22.058913582784406,10.582026918547848,578.013707883656,20,,,
attention_top_k_k=2,selector_attention_top_k,50,,,2,11.189642145397762,21.210239149149814,11.189642145397762,580.0490728579462,20,50,,
recent_k_k=2,selector_recent_k,50,,,2,10.017189621763924,20.1992407737527,10.017189621763924,577.6157509535551,20,,,
selector_baseline_50sample,baseline_50sample,50,,,,11.036768085417648,22.132159381010695,11.036768085417648,577.2419879212976,20,,,
B_recent_k2_only,selector_only,1698,,,2,10.84686681689948,22.486722208730615,10.84686681689948,622.9520128108561,20.0,,False,True
D_recentk2_plus_speculative,selector_plus_speculative,1698,0.35,8,2,10.895102344584037,22.54730367655577,10.895102344584037,122.2276664339006,4.006478209658422,,True,True
D_prime_recentk2_plus_speculative_th0.7,selector_plus_speculative,1698,0.7,8,2,10.902755948342183,22.58030846315392,10.902755948342183,121.89886230044067,4.004711425206125,,True,True
